file	percent	reads	taxon_id	taxon_name
kaiju_nr_euk_greedy.out	19.010712	5898480	838	Prevotella
kaiju_nr_euk_greedy.out	2.436647	756022	816	Bacteroides
kaiju_nr_euk_greedy.out	1.663772	516221	1485	Clostridium
kaiju_nr_euk_greedy.out	1.160645	360115	157	Treponema
kaiju_nr_euk_greedy.out	0.631815	196034	459786	Oscillibacter
kaiju_nr_euk_greedy.out	0.631002	195782	841	Roseburia
kaiju_nr_euk_greedy.out	0.623338	193404	1730	Eubacterium
kaiju_nr_euk_greedy.out	0.610379	189383	1263	Ruminococcus
kaiju_nr_euk_greedy.out	0.488869	151682	33024	Phascolarctobacterium
kaiju_nr_euk_greedy.out	0.420919	130599	1578	Lactobacillus
kaiju_nr_euk_greedy.out	0.406799	126218	239759	Alistipes
kaiju_nr_euk_greedy.out	0.314386	97545	375288	Parabacteroides
kaiju_nr_euk_greedy.out	0.291019	90295	216851	Faecalibacterium
kaiju_nr_euk_greedy.out	0.260395	80793	1283313	Alloprevotella
kaiju_nr_euk_greedy.out	0.237418	73664	209	Helicobacter
kaiju_nr_euk_greedy.out	0.233205	72357	194	Campylobacter
kaiju_nr_euk_greedy.out	0.204321	63395	830	Butyrivibrio
kaiju_nr_euk_greedy.out	0.204047	63310	572511	Blautia
kaiju_nr_euk_greedy.out	0.184787	57334	1506553	Lachnoclostridium
kaiju_nr_euk_greedy.out	0.147903	45890	580596	Butyricicoccus
kaiju_nr_euk_greedy.out	0.132055	40973	292632	Subdoligranulum
kaiju_nr_euk_greedy.out	0.131511	40804	832	Fibrobacter
kaiju_nr_euk_greedy.out	0.125584	38965	810	Chlamydia
kaiju_nr_euk_greedy.out	0.121661	37748	33042	Coprococcus
kaiju_nr_euk_greedy.out	0.119447	37061	82373	Anaerovibrio
kaiju_nr_euk_greedy.out	0.118751	36845	970	Selenomonas
kaiju_nr_euk_greedy.out	0.105794	32825	2093	Mycoplasma
kaiju_nr_euk_greedy.out	0.103951	32253	1386	Bacillus
kaiju_nr_euk_greedy.out	0.097937	30387	836	Porphyromonas
kaiju_nr_euk_greedy.out	0.095023	29483	946234	Flavonifractor
kaiju_nr_euk_greedy.out	0.088867	27573	577309	Paraprevotella
kaiju_nr_euk_greedy.out	0.082022	25449	44249	Paenibacillus
kaiju_nr_euk_greedy.out	0.081725	25357	1870884	Clostridioides
kaiju_nr_euk_greedy.out	0.074590	23143	189330	Dorea
kaiju_nr_euk_greedy.out	0.070786	21963	1017280	Pseudoflavonifractor
kaiju_nr_euk_greedy.out	0.070670	21927	244127	Anaerotruncus
kaiju_nr_euk_greedy.out	0.059841	18567	40544	Sutterella
kaiju_nr_euk_greedy.out	0.053740	16674	156973	Dysgonomonas
kaiju_nr_euk_greedy.out	0.050781	15756	237	Flavobacterium
kaiju_nr_euk_greedy.out	0.047736	14811	1883	Streptomyces
kaiju_nr_euk_greedy.out	0.046653	14475	195950	Tannerella
kaiju_nr_euk_greedy.out	0.046408	14399	872	Desulfovibrio
kaiju_nr_euk_greedy.out	0.046279	14359	1301	Streptococcus
kaiju_nr_euk_greedy.out	0.045799	14210	397864	Barnesiella
kaiju_nr_euk_greedy.out	0.044448	13791	204475	Gemmiger
kaiju_nr_euk_greedy.out	0.043733	13569	100883	Coprobacillus
kaiju_nr_euk_greedy.out	0.043668	13549	248038	Mucispirillum
kaiju_nr_euk_greedy.out	0.043024	13349	46205	Pseudobutyrivibrio
kaiju_nr_euk_greedy.out	0.042611	13221	399320	Sphaerochaeta
kaiju_nr_euk_greedy.out	0.041647	12922	1392389	Intestinimonas
kaiju_nr_euk_greedy.out	0.039491	12253	1918540	Muribaculum
kaiju_nr_euk_greedy.out	0.037799	11728	84567	Pedobacter
kaiju_nr_euk_greedy.out	0.035624	11053	265975	Oribacterium
kaiju_nr_euk_greedy.out	0.035153	10907	207244	Anaerostipes
kaiju_nr_euk_greedy.out	0.032845	10191	1350	Enterococcus
